year,half,half_year,county,province,property_type,bedrooms,bedrooms_num,rent_euro,is_county_aggregate
2025,1,2025H1,Galway,Connacht,All property types,All bedrooms,,1602.95,True
2025,1,2025H1,Kerry,Munster,All property types,All bedrooms,,1169.67,True
2025,1,2025H1,Kildare,Leinster,All property types,All bedrooms,,1675.65,True
2025,1,2025H1,Kilkenny,Leinster,All property types,All bedrooms,,1198.55,True
2025,1,2025H1,Laois,Leinster,All property types,All bedrooms,,1227.27,True
2025,1,2025H1,Leitrim,Connacht,All property types,All bedrooms,,991.05,True
2025,1,2025H1,Limerick,Munster,All property types,All bedrooms,,1536.19,True
2025,1,2025H1,Longford,Leinster,All property types,All bedrooms,,1120.89,True
2025,1,2025H1,Louth,Leinster,All property types,All bedrooms,,1414.44,True
2025,1,2025H1,Mayo,Connacht,All property types,All bedrooms,,1095.81,True
2025,1,2025H1,Meath,Leinster,All property types,All bedrooms,,1540.95,True
2025,1,2025H1,Monaghan,Ulster,All property types,All bedrooms,,1037.23,True
2025,1,2025H1,Offaly,Leinster,All property types,All bedrooms,,1189.02,True
2025,1,2025H1,Roscommon,Connacht,All property types,All bedrooms,,1082.65,True
2025,1,2025H1,Sligo,Connacht,All property types,All bedrooms,,1126.9,True
2025,1,2025H1,Tipperary,Munster,All property types,All bedrooms,,1070.86,True
2025,1,2025H1,Waterford,Munster,All property types,All bedrooms,,1174.76,True
2025,1,2025H1,Westmeath,Leinster,All property types,All bedrooms,,1228.55,True
2025,1,2025H1,Wexford,Leinster,All property types,All bedrooms,,1166.13,True
2025,1,2025H1,Wicklow,Leinster,All property types,All bedrooms,,1710.44,True
